,Genre,Production Company,Movie name,Director name
657,Action," Regency Enterprises, Ubisoft Entertainment, New Regency, DMC Film, The Kennedy/Marshall Company",Assassins-Creed,Justin Kurzel
658,Horror," Screen Gems, Constantin Film, Davis Films, Impact Pictures",Resident-Evil-Retribution,Paul W.S. Anderson
659,Action, Silver Pictures,Die-Hard-2,Renny Harlin
660,,,Crocodile-Dundee-2,
661,Drama,,Dead-Poets-Society,Peter Weir
662,Thriller/Suspense," Columbia Pictures, Metro-Goldwyn-Mayer Pictures, Scott Rudin Productions, Yellow Bird",Girl-with-the-Dragon-Tattoo-The,
663,,,Grand-Canyon-The-Hidden-Secrets,
664,Drama," Village Roadshow Productions, Warner Bros., Malpaso Productions, Flashlight Films, The Kennedy/Marshall Company",Sully,
665,Horror," 20th Century Fox, Scott Free Films, TSG Entertainment, Brandywine",Alien-Covenant,Ridley Scott
666,Action,,Batman-and-Robin,
667,Black Comedy," Warner Bros., Village Roadshow Productions, Infinitum Nihil, GK Films, Zancuk Company",Dark-Shadows,Tim Burton
668,Romantic Comedy," Color Force, Ivanhoe Pictures, Warner Bros., SK Global, Beijing Universe Starlight Culture Media Company, Electric Somewhere",Crazy-Rich-Asians-(2018),
669,Adventure, DisneyToon Studios,Planes,Klay Hall
670,Adventure, Studio Ghibli,Hauru-no-ugoku-shiro,Hayao Miyazaki
671,,,Click,
672,,,Day-the-Earth-Stood-Still-The,Scott Derrickson
673,,,Gang-jiong-(China),
674,Adventure," Columbia Pictures, Sony Pictures Animation",Cloudy-with-a-Chance-of-Meatballs,
675,Comedy," Universal Pictures, Relativity Media, Practical Pictures, Zide Pictures",American-Reunion,
676,,,Few-Good-Men-A,
677,Drama, Weinstein Company,Silver-Linings-Playbook,David O. Russell
678,Action,,2-Fast-2-Furious,
679,Drama," Amblin Entertainment, DreamWorks Pictures",Artificial-Intelligence-AI,
680,Adventure," Universal Pictures, StudioCanal, Working Title Films, Tiger Aspect Pictures, Motion Picture Alpha Produktionsgesellschaft",Mr-Beans-Holiday,Steve Bendelack
681,Comedy,,American-Pie,
682,Action, Warner Bros.,Eraser,Chuck Russell
683,Adventure, Amblin Entertainment,Mask-of-Zorro-The,Martin Campbell
684,Action," Touchstone Pictures, Jerry Bruckheimer",Gone-in-60-Seconds,Dominic Sena
685,Comedy," Chernin Entertainment, Feigco Entertainment",Spy,
686,Comedy,,American-Wedding,
687,Adventure," Davis Entertainment, Dune Entertainment, Ingenious Media, Big Screen Prods, Phoenix Pictures",Gullivers-Travels-(2010),Rob Letterman
688,Drama, Warner Bros.,Million-Dollar-Baby,Clint Eastwood
689,Drama," Fox 2000 Pictures, Chernin Entertainment, Levantine Films",Hidden-Figures,Theodore Melfi
690,,,English-Patient-The,Anthony Minghella
691,,,Sister-Act,
692,Comedy," Mandate Pictures, Mr. Mudd",Juno,Jason Reitman
693,Horror," Atomic Monster, New Line Cinema, The Safran Company",Annabelle-Comes-Home-(2019),Gary Dauberman
694,Drama," Goodfellas Pictures, Fat Kids Productions",Shao-Nian-De-Ni-(China),Derek Tsang
695,Comedy," 20th Century Fox, Chernin Entertainment, TSG Entertainment, Ingenious Media",Heat-The,
696,Action," Relativity Media, Columbia Pictures, Crystal Sky Pictures",Ghost-Rider,Mark Steven Johnson
697,Drama,,vita-e-bella-La,Roberto Benigni
698,Action, Original Film,Green-Hornet-The,Michel Gondry
699,Comedy," Columbia Pictures, Village Roadshow Productions, Ivan Reitman Production",Ghostbusters-(2016),
700,Comedy," Columbia Pictures, Out of the Blue Entertainment, Jack Giarraputo",Big-Daddy-(1999),Dennis Dugan
701,Thriller/Suspense," Tri-Star Pictures, MRC, Working Title Films, Big Talk Pictures",Baby-Driver,
702,Romantic Comedy, Tri-Star Pictures,Sleepless-in-Seattle,Nora Ephron
703,Adventure," Aardman Animations, DreamWorks Animation",Chicken-Run,Nick Park
704,Drama," Black Bear, Bristol Automotive",Imitation-Game-The,Morten Tyldum
705,,,Lethal-Weapon-2,
706,Action," Columbia Pictures, Leonard Goldberg, Flower Films, Tall Trees, Wonderland Sound and Vision",Charlies-Angels-Full-Throttle,
707,Thriller/Suspense," Warner Bros., GK Films, Smoke House Pictures",Argo,Ben Affleck
708,,,Fang-Hua-(China),
709,Thriller/Suspense," EuropaCorp, M6 Films, Grive Productions, Canal Plus, TPS Star",Taken,Pierre Morel
710,Comedy," Village Roadshow Productions, Mosaic Media, Mad Chance, Callahan Filmworks",Get-Smart,
711,Comedy," Warner Bros., Village Roadshow Productions, Heyday Films, Zancuk Company",Yes-Man,Peyton Reed
712,Drama," Lawrence Bender, Miramax Films",Good-Will-Hunting,Gus Van Sant
713,Drama,,Rocky,John G. Avildsen
714,Drama," Columbia Pictures, Relativity Media",Social-Network-The-(2010),David Fincher
715,Romantic Comedy," Universal Pictures, Relativity Media, Waverly Films, Scott Rudin Productions",Its-Complicated,Nancy Meyers
716,Drama," Chernin Entertainment, 20th Century Fox, TSG Entertainment, Turnpike Films",Ford-v-Ferrari-(2019),James Mangold
717,Comedy," Walt Disney Pictures, Gunnfilms, Marc Platt Productions",Cruella-(2021),Craig Gillespie
718,Action, Touchstone Pictures,Con-Air,Simon West
719,Horror, Geffen Pictures,Interview-with-the-Vampire-(1994),
720,Adventure," Fox 2000 Pictures, 1492 Pictures, Sunswept Entertainment, Dune Entertainment, Big Screen Prods, Phoenix Pictures",Percy-Jackson-and-the-Lightning-Thief,Chris Columbus
721,Adventure, Walt Disney Pictures,Honey-I-Shrunk-the-Kids,Joe Johnston
722,Adventure," Regency Enterprises, New Regency, Hypnotic",Jumper,Doug Liman
723,,,Non-Stop-(2013),
724,Comedy, Guy Walks Into a Bar,Elf,Jon Favreau
725,Adventure,,Little-Mermaid-The,
726,Action," Weed Road Pictures, Village Roadshow Productions",Constantine,
727,Adventure," Walt Disney Pictures, Happy Madison, Conman & Izzy",Bedtime-Stories,Adam Shankman
728,,,Presumed-Innocent,Alan J. Pakula
729,Adventure," Working Title Films, Cross Creek Pictures, Walden Media, Universal Pictures, Free State Pictures, RVK",Everest-(2015),Baltasar Kormakur
730,,,Wild-Wild-West,
731,,,Fahrenheit-9-11,
732,Thriller/Suspense," Skydance Productions, Electric Entertainment",Geostorm,Dean Devlin
733,Drama," Columbia Pictures, Scott Rudin Productions, Michael De Luca Productions, Trigger Street Productions",Captain-Phillips,Paul Greengrass
734,,,Song-Ni-Yi-Duo-Xiao-Hong-Hua-(2020-China),
735,Action," Legendary Pictures, Relativity Media, Michael De Luca Productions",Dracula-Untold,Gary Shore
736,Action," De Line Pictures, Warner Bros.",Green-Lantern-(2011),Martin Campbell
737,Thriller/Suspense," Image Entertainment, Columbia Pictures, LStar Capital, Brian Grazer Productions",Inferno,Ron Howard
738,Romantic Comedy," Universal Pictures, Judd Apatow",Knocked-Up,
739,Drama," Columbia Pictures, Regency Enterprises, Pascal Pictures",Little-Women-(2019),Greta Gerwig
740,Action, Twentieth Century Fox,Kingdom-of-Heaven,Ridley Scott
741,Drama," DreamWorks Pictures, Amblin Entertainment, Parkes+Macdonald Productions",Terminal-The-(2004),
742,Adventure," DreamWorks SKG, DreamWorks Animation",Prince-of-Egypt-The,Brenda Chapman
743,Romantic Comedy," 20th Century Fox, Regency Enterprises, 21 Laps Entertainment, Mosaic Media",What-Happens-in-Vegas,Tom Vaughan
744,Adventure," Walt Disney Pictures, Jerry Bruckheimer, Saturn Films, Broken Road",Sorcerers-Apprentice-The,Jon Turteltaub
745,Action," DreamWorks Pictures, Paramount Pictures, Parkes+Macdonald Productions, Edge City, Image Nation",Collateral,
746,,,Valentines-Day,
747,Thriller/Suspense," Paramount Pictures, Skydance Productions, Tom Cruise Productions",Jack-Reacher,Christopher McQuarrie
748,Comedy," Fuzzy Door, Bluegrass Films",Ted-2,
749,Comedy," New Line Cinema, Universal Pictures, RatPac Entertainment, Dune Entertainment, Perfect World Pictures, Bluegrass Films, Principato-Young Entertainment",Central-Intelligence,Rawson Marshall Thurber
750,Comedy, Universal Pictures,Twins,Ivan Reitman
751,Adventure, Sony Pictures Animation,Emoji-Movie-The,
752,Horror," Columbia Pictures, American Zoetrope, Osiris Films",Dracula-(1992),
753,Comedy,,Ghostbusters-II,
754,Comedy," Sony Pictures, Mosaic Media",Bad-Teacher,Jake Kasdan
755,,,Patriot-The-(2000),Roland Emmerich
756,Adventure," EuropaCorp, Fundamental Films, BNP Paribas Film Fund, River Road Entertainment, Belga Films, Valerian S.A.S., TF1 Film Productions, OCS., Orange Studio, Universum Film, Novo Pictures",Valerian-and-the-City-of-a-Thousand-Planets-(France),
757,Drama," Twentieth Century Fox, Bazmark Film 2 Pty Ltd",Australia-(2008),Baz Luhrmann
758,Romantic Comedy," Columbia Pictures, Happy Madison",Just-Go-With-It,Dennis Dugan
759,Action," Paramount Pictures, Metro-Goldwyn-Mayer Pictures, MTV Films, Gary Sanchez Productions",Hansel-and-Gretel-Witch-Hunters,Tommy Wirkola
760,Thriller/Suspense," Touchstone Pictures, Imagine Entertainment, Brian Grazer Productions",Flightplan,Robert Schwentke
761,,,Bourne-Identity-The,Doug Liman
762,,,Xia-Luo-Te-Fan-Nao-(China)(2015),Da-Mo Peng
763,Drama,,Dirty-Dancing-(1987),
764,Adventure," Zaftig Films, RatPac Entertainment, Warner Bros., Warner Animation Group",Smallfoot-(2018),Karey Kirkpatrick
765,Drama," Metro-Goldwyn-Mayer Pictures, Warner Bros., New Line Cinema, Chartoff Winkler Productions",Creed-II-(2018),
766,Action," United China Vision, Asia Union Film and Entertainment LTD, Sony Pictures Classics, Edko Films, Good Machine, Columbia Pictures, China Film Co. LTD",Crouching-Tiger-Hidden-Dragon,Ang Lee
767,,,Vertical-Limit,
768,Action," Columbia Pictures, Relativity Media, Original Film",Battle-Los-Angeles,Jonathan Liebesman
769,Comedy," Castle Rock Entertainment, Village Roadshow Productions",Miss-Congeniality,Donald Petrie
770,Drama," DreamWorks Pictures, Participant Media, Reliance BIG Entertainment, Image Nation Abu Dhabi, 1492 Pictures, Harbinger Pictures",Help-The,Tate Taylor
771,Adventure," Paramount Pictures, DreamWorks Pictures, Parkes+Macdonald Productions, Nikelodeon Movies",Lemony-Snickets-A-Series-of-Unfortunate-Events,
772,Adventure," 20th Century Fox, Miramax Films, Universal Pictures, Samuel Goldwyn Films",Master-and-Commander-The-Far-Side-of-the-World,Peter Weir
773,Drama," Jersey Films, A Band Apart",Pulp-Fiction,
774,Musical," Lucamar, Marc Platt Productions",Into-the-Woods,Rob Marshall
775,Thriller/Suspense, Wingnut Films,District-9,Neill Blomkamp
776,Comedy," New Line Cinema, Rat Entertainment",Horrible-Bosses,Seth Gordon
777,Comedy," Morgan Creek Productions, Warner Bros.",Ace-Ventura-When-Nature-Calls,Steve Oedekerk
778,Drama," Universal Pictures, Relativity Media, Forward Pass, Misher Films, Tribeca Film, Appian Way",Public-Enemies-(2009),Michael Mann
779,,,Disclosure-(1994),Barry Levinson
780,,,End-of-Days,Peter Hyams
781,Action," Sony Pictures, Original Film",Total-Recall-(Remake),Len Wiseman
782,Comedy," Legendary Pictures, Green Hat Films",Due-Date,Todd Phillips
783,Thriller/Suspense," Regency Enterprises, 20th Century Fox, Fountainbridge Films",Entrapment,Jon Amiel
784,Action," Relativity Media, Rogue Pictures",Immortals,Tarsem Singh
785,Drama," QED International, Le Grisbi, Crave Films",Fury-(2014),David Ayer
786,Action," United Artists, Eon Productions",Moonraker,Gilbert Lewis
787,Action," Nu Image, Millennium Films",Expendables-3-The,Patrick Hughes
788,,,Hou-Lai-De-Wo-Men-(China),
789,Drama,,Braveheart,
790,Horror," Zancuk Company, David Brown, Universal Pictures",Jaws-2,Jeannot Szwarc
791,,,Aviator-The-(2004),
792,Drama,,Traffic,
793,Drama," New Line Cinema, Metro-Goldwyn-Mayer Pictures, Sunswept Entertainment",Me-Before-You,Thea Sharrock
794,,,Garfield-The-Movie,Peter Hewitt
795,Adventure," Village Roadshow Asia, Chinavision Media Group, Bingo Movie Development, Edko Films, Wanda Media",Xi-you-xiang-mo-pian,Stephen Chow
796,Thriller/Suspense," Universal Pictures, Relativity Media, Bluegrass Films",Safe-House,
797,,,Others-The-(2001),Alejandro AmenÃ¡bar
798,Action," Mace Neufeld, Robert Rehme",Clear-and-Present-Danger,Phillip Noyce
799,Romantic Comedy," Perfect World Pictures, Universal Pictures, Miramax Films, StudioCanal, Working Title Films",Bridget-Joness-Baby,
800,Action, Columbia Pictures,S-W-A-T,
801,Horror," Paramount Pictures, Mandalay Vision, Scott Rudin Productions, American Zoetrope",Sleepy-Hollow-(1999),Tim Burton
802,Horror," Paramount Pictures, Blumhouse, Solana Films, Room 101",Paranormal-Activity-3,Henry Joost
803,Adventure, A113 ,Tomorrowland,Brad Bird
804,Drama," Plan B Entertainment, Columbia Pictures",Eat-Pray-Love,Ryan Murphy
805,Action," Universal Pictures, Mediastream Film, Neal H. Moritz",Fast-and-the-Furious-The,Rob Cohen
806,Thriller/Suspense," Universal Pictures, Imagine Entertainment",Red-Dragon,Brett Ratner
807,Romantic Comedy, Wild West Picture Show,Break-Up-The,Peyton Reed
808,Thriller/Suspense," Columbia Pictures, Mythology Entertainment, Centropolis Entertainment",White-House-Down,
809,Drama," Camelot Pictures, Ixtlan Productions, A. Kitman Ho, Regency Enterprises",JFK-(1991),Oliver Stone
810,,,Ren-zai-jiong-tu-zhi-tai-jiong,
811,Romantic Comedy," Columbia Pictures, Relativity Media, Lakeshore Entertainment, Steven Reuther",Ugly-Truth-The,
812,Romantic Comedy," Columbia Pictures, Universal Pictures, Relativity Media, Waverly Films",Holiday-The,
813,Adventure," Studio Ghibli, Nippon Television Network, Dentsu Inc., Hakuhoda, Walt Disney Japan",Gake-no-ue-no-Ponyo,Hayao Miyazaki
814,Adventure," Sunswept Entertainment, De Line Pictures, Rhythm and Hues",Yogi-Bear,Eric Brevig
815,Thriller/Suspense," Metro-Goldwyn-Mayer Pictures, United Artistic Group, Bad Hat Harry Productions, Achte Babelsberg Film",Valkyrie,Bryan Singer
816,Adventure," Touchstone Pictures, Jerry Bruckheimer",King-Arthur-(2004),Antoine Fuqua
817,,,Chai-Dan-Zhuan-Jia-Er-(2020-Hong-Kong),
818,Drama," Paramount Pictures, FilmNation Entertainment, Lava Bear Films, 21 Laps Entertainment",Arrival-(2016),Denis Villeneuve
819,Drama," Amblin Entertainment, Reliance Entertainment, Walden Media, Pariah Productions",Dogs-Purpose-A,Lasse HallstrÃ¶m
820,Comedy," Columbia Pictures, Imagine Entertainment, Brian Grazer Productions, JC 23 Entertainment, Bart/Palevsky",Fun-With-Dick-And-Jane,Dean Parisot
821,Comedy," Columbia Pictures, Relativity Media, Happy Madison",You-Don-t-Mess-With-the-Zohan,
822,Musical," New Line Cinema, Ingenious Film Partners, Zadan/Meron",Hairspray-(2007),
823,Comedy," Columbia Pictures, Metro-Goldwyn-Mayer Pictures, Relativity Media, Original Film, Cannell Studios",21-Jump-Street,Phil Lord
824,Thriller/Suspense," Cruise-Wagner, Vynil Films",Vanilla-Sky,
825,Drama," Broken Chair Flickz, New Line Cinema, Cube Vision, Crucial Films",Straight-Outta-Compton,F. Gary Gray
826,Comedy,,Patch-Adams,Tom Shadyac
827,Adventure,,Teenage-Mutant-Ninja-Turtles-(1990),Steve Barron
828,Comedy, Imagine Entertainment,Kindergarten-Cop,Ivan Reitman
829,Action," LuckyChap Entertainment, Kroll and Company Entertainment, Clubhouse Pictures, Warner Bros.",Birds-of-Prey-(And-the-Fantabulous-Emancipation-of-One-Harley-Quinn)-(2020),Cathy Yan
830,Drama," Paramount Pictures, Polygram Pictures",Flashdance-(1983),Adrian Lyne
831,Drama, Tri-Star Pictures,Philadelphia-(1993),
832,Adventure, 1492 Pictures,Percy-Jackson-Sea-of-Monsters,Thor Freudenthal
833,Comedy, Village Roadshow Productions,Cats-and-Dogs,Lawrence Guterman
834,Adventure," The Jackal Group, Cinesite, Metro-Goldwyn-Mayer Pictures, Annapurna Films",Addams-Family-The-(2019),
835,Thriller/Suspense," Mace Neufeld, Jerry Sherlock",Hunt-for-Red-October-The,John McTiernan
836,Action,,Rocky-2,Sylvester Stallone
837,Adventure," Walden Media, Walt Disney Pictures, Amblin Entertainment, Reliance Entertainment, The Kennedy/Marshall Company",BFG-The-(2016),Steven Spielberg
838,,,Wu-Sha-(China),
839,Romantic Comedy," Castle Rock Entertainment, Village Roadshow Productions, NPV Entertainment",Two-Weeks-Notice,Marc Lawrence
840,Drama," Regency Enterprises, Warner Bros., Atlas Entertainment",City-of-Angels-(1998),Brad Silberling
841,Comedy,,Yi-Chu-Hao-Xi-(China)-(2018),Huang Bo
842,,,Pacifier-The,Adam Shankman
843,Adventure, Troublemaker Studios,Spy-Kids,Robert Rodriguez
844,Adventure," New Line Cinema, Legendary Pictures, Original Film, Big Kid Pictures, Bad Hat Harry Productions, Bryan Singer",Jack-the-Giant-Slayer,Bryan Singer
845,Drama," Screen Gems, Spyglass Entertainment, Birnbaum/Barber",Vow-The,Michael Sucsy
846,Adventure," Aardman Animations, DreamWorks Animation",Wallace-and-Gromit-The-Curse-of-the-Were-Rabbit,Nick Park
847,Adventure," Kerner Entertainment Company, Columbia Pictures, LStar Capital, Wanda Media, Sony Pictures Animation",Smurfs-The-Lost-Village,Kelly Asbury
848,Adventure," Walt Disney Pictures, 2Dux2",Christopher-Robin-(2018),Marc Forster
849,Comedy, Waverly Films,Intern-The,Nancy Meyers
850,Adventure," StudioCanal, Centropolis Entertainment",Stargate,Roland Emmerich
851,Action, di Bonaventura Pictures,Red-(2010),Robert Schwentke
852,Romantic Comedy, Happy Madison,50-First-Dates,
853,,,Panic-Room,
854,Drama," Double Dare You, Fox Searchlight Pictures",Shape-of-Water-The,Guillermo del Toro
855,,,Anger-Management,
856,,,For-Your-Eyes-Only,John Glen
857,Thriller/Suspense," Nu Image, Millennium Films",London-Has-Fallen,Babak Najafi
858,Comedy, LBI Entertainment,Other-Woman-The-(2014),Nick Cassavetes
859,Adventure," Paramount Pictures, Shangri-La Entertainment, ImageMovers",Beowulf,Robert Zemeckis
860,Drama," Carnival Films, Focus Features, Perfect World Pictures",Downton-Abbey-(UK)-(2019),Michael Engler
861,Horror," Blumhouse, Solana Films",Paranormal-Activity,Oren Peli
862,Action," Electronic Arts, Bandito Brothers, Mark Sourian, John Gatins",Need-for-Speed,Scott Waugh
863,Action," Global Star Productions, China Film Company, Fanoy Planet Entertainment, HG Entertainment, Luxun Group, Jiangsu Wenhua Dongrun Film and TV Culture, Yoo.com, IQIYI Motion Pictures, Filmko Film Co, Golden Shores Films",Xi-You-Ji-zhi-Sun-Wu-Kong-San-Da-Bai-Gu-Jing-(China)-(2016),Cheang Pou-Soi
864,Comedy," Touchstone Pictures, Rocket Pictures, Focus Features",Gnomeo-and-Juliet,Kelly Asbury
865,,,Sum-of-All-Fears-The,
866,Adventure," Heyday Films, StudioCanal, Dimension Films, Anton Capital Entertainment",Paddington-2,Paul King
867,Action," Escape Artists, Zhiv, Mace Neufeld, Columbia Pictures",Equalizer-The,Antoine Fuqua
868,Action," Tin Tin, Well Go USA Entertainment",Yip-Man-4-(Hong-Kong),Wilson Yip
869,Drama," MARV Films, Paramount Pictures, New Republic Pictures, Rocket Pictures",Rocketman-(UK)-(2019),Dexter Fletcher
870,Adventure," Columbia Pictures, Sony Pictures Animation",Open-Season-(2006),
871,Comedy," Paramount Pictures, Columbia Pictures, Happy Madison, MTV Films, Callahan Filmworks",Longest-Yard-The-(2005),
872,Comedy,,Addams-Family-The,
873,Action," Eon Productions, United Artists",Living-Daylights-The,
874,,,Hollow-Man,
875,Comedy," DreamWorks Pictures, Red Hour Productions, Goldcrest Films",Tropic-Thunder,
876,Horror," New Line Cinema, Atomic Monster, The Safran Company",Conjuring-The-Devil-Made-Me-Do-It-The,Michael Chaves
877,Adventure," DreamWorks Animation, Dentsu Inc.",Croods-A-New-Age-The-(2020),Joel Crawford
878,Adventure," Walt Disney Pictures, Hollywood Pictures, Outlaw Productions",Santa-Clause-The,
879,Adventure,,Superman-II,
880,Action," Columbia Pictures, Escape Artists, Zhiv, Mace Neufeld",Equalizer-2-The,Antoine Fuqua
881,Drama,,Tenki-no-Ko-(Japan),Makoto Shinkai
882,Comedy, Robert Simonds Company,Cheaper-by-the-Dozen-(2003),Shawn Levy
883,Comedy," Touchstone Pictures, Robert Simonds Company, Jack Giarraputo",Waterboy-The-(1998),
884,Adventure," Lord Miller, Vertigo Entertainment, Rideback, Warner Bros., Lego Systems A/S ",Lego-Movie-2-The-Second-Part-The-(2019),
885,Thriller/Suspense, Warner Bros.,Outbreak,Wolfgang Petersen
886,Adventure," 20th Century Fox, Davis Entertainment, Dune Entertainment",Mr-Poppers-Penguins,Mark Waters
887,,,X-Files-Fight-the-Future-The,
888,,,Xin-Hua-Lu-Fang,Hao Ning
889,Action,,Rambo-III,
890,Adventure," Pearl Studio, DreamWorks Animation",Abominable-(2019),Jill Culton
891,Adventure," Relativity Media, Illumination Entertainment",Hop,
892,Thriller/Suspense, Warner Bros.,Pelican-Brief-The-(1993),Alan J. Pakula
893,Adventure," Samuel Goldwyn Films, Red Hour Productions, New Line Cinema",Secret-Life-of-Walter-Mitty-The-(2012),
894,Drama," Fox 2000 Pictures, Tree Line Film, Catfish",Walk-the-Line,James Mangold
895,Action," Eon Productions, United Artists",Octopussy,John Glen
896,Drama," Lion Brand Film, Warner Bros., Regency Enterprises",Heat-(1995),Michael Mann
897,,,Final-Destination-The,
898,Thriller/Suspense," Castle Rock Entertainment, Columbia Pictures",In-the-Line-of-Fire,Wolfgang Petersen
899,,,Grudge-The-(2004),Takaski Shimizu
900,Action," Legendary Pictures, Lawrence Gordon, Lloyd Levin",Watchmen,Zack Snyder
901,,,Horse-Whisperer-The-(1998),Robert Redford
902,Thriller/Suspense," Escape Artists, Mystery Clock Cinema",Knowing,Alex Proyas
903,,,Atlantis-The-Lost-Empire,Gary Trousdale
904,,,Wu-Shuang-(Hong-Kong)-(2018),
905,Adventure," Columbia Pictures, Relativity Media, Happy Madison",Paul-Blart-Mall-Cop,Steve Carr
906,Thriller/Suspense," Universal Pictures, Imagine Entertainment, Brian Grazer Productions",Inside-Man,Spike Lee
907,Comedy," Universal Pictures, Gold Circle Films, Brownstone",Pitch-Perfect-3,
908,Comedy," Universal Pictures, Relativity Media, Happy Madison",I-Now-Pronounce-You-Chuck-and-Larry,
909,,,White-Storm-2-The-Drug-Lords-(Hong-Kong),
910,Action, Eon Productions,Spy-Who-Loved-Me-The,Gilbert Lewis
911,,,Xuan-Ya-Zhi-Shang-(2021-China),Zhang Yimou
912,Musical, Walt Disney Pictures,Snow-White-and-the-Seven-Dwarfs,David Hand
913,Horror, Twentieth Century Fox,Alien-(1979),Ridley Scott
914,Action," Millennium Films, Cristal Pictures, East Light Film, CG Films  ",Hitmans-Bodyguard-The,Patrick Hughes
915,Drama," DreamWorks Pictures, 20th Century Fox, Zancuk Company",Road-to-Perdition,Sam Mendes
916,Adventure," RatPac Entertainment, Dune Entertainment, Warner Animation Group",Storks,Nicholas Stoller
917,Action,,Aliens,James Cameron
918,Drama, Alberto Grimaldi,Gangs-of-New-York,Martin Scorsese
919,,,Waynes-World,
920,,,Maverick,
921,Action," Regency Enterprises, 20th Century Fox, Marvel Studios, New Regency, Horseshoe Bay",Daredevil,
922,,,Du-cheng-feng-yun-III-(Hong-Kong),
923,Comedy, Touchstone Pictures,Sweet-Home-Alabama,Andy Tennant
924,Thriller/Suspense," Tribeca Film, Amblin Entertainment",Cape-Fear,Martin Scorsese
925,Romantic Comedy, Hollywood Pictures,While-You-Were-Sleeping,Jon Turteltaub
926,Action," Warner Bros., Village Roadshow Productions, Anarchos Productions, RatPac Entertainment, Dune Entertainment",Jupiter-Ascending,The Wachowskis*
927,Comedy,,Birdcage-The,
928,Adventure,,Poseidon,Wolfgang Petersen
929,,,First-Wives-Club-The,Hugh Wilson
930,Romantic Comedy," New Line Cinema, Flower Film",Hes-Just-Not-That-Into-You,Ken Kwapis
931,Thriller/Suspense," Touchstone Pictures, Jerry Bruckheimer, Scott Free Films",Deja-Vu-(2006),
932,,,Scooby-Doo-2-Monsters-Unleashed,
933,Drama," Regency Enterprises, River Road Entertainment, Plan B Entertainment, New Regency, Film4",12-Years-a-Slave,Steve Rodney McQueen
934,Thriller/Suspense," DreamWorks Pictures, K/O Productions",Eagle-Eye,D.J. Caruso
935,Comedy," Bill Block Media, STX Entertainment, Hyayi Brothers Corp., Suzanne Todd",Bad-Moms,Jon Lucas
936,Horror, Roth/Arnold,Haunting-The-(1999),Jan De Bont
937,Comedy," Paramount Pictures, Four by Two Films, Berg Mandel, Scott Rudin Productions",Dictator-The,
938,Adventure," GK Films, Infinitum Nihil",Hugo,Martin Scorsese
939,Drama," DreamWorks Pictures, Amblin Entertainment, 20th Century Fox, Participant Media, Star Thrower Entertainment",Post-The,Steven Spielberg
940,Adventure," DreamWorks Pictures, DreamWorks Animation, Aardman Animations",Flushed-Away,Sam Fell
941,,,League-of-Extraordinary-Gentlemen-The-(2003),Stephen Norrington
942,Musical, Bazmark,Moulin-Rouge,Baz Luhrmann
943,,,Dangerous-Minds,
944,Comedy,,Scary-Movie-4,
945,,,How-to-Lose-a-Guy-in-10-Days,
946,,,Dantes-Peak-(1997),Roger Donaldson
947,Action," Mace Neufeld, Robert Rehme",Patriot-Games,Phillip Noyce
948,,,Flubber,Les Mayfield
949,,,Double-Jeopardy,
950,,,Jet-Lis-Hero,
951,Horror," Blumhouse, Solana Films",Paranormal-Activity-2-(2010),Tod Williams
952,Action," 20th Century Fox, Dune Entertainment, Stephen J. Cannell, Top Cow, Scott Free Films",A-Team-The,Joe Carnahan
953,Comedy,,Tootsie,Sydney Pollack
954,Drama," Weinstein Company, Laura Ziskin Productions, Windy Hill Pictures, Follow Through Productions, Salamander Pictures, Pam Williams Productions",Butler-The,Lee Daniels
955,Drama, River Road Entertainment,Brokeback-Mountain,Ang Lee
956,Comedy, Warner Bros.,Analyze-This,Harold Ramis
957,Action, A Band Apart,Kill-Bill-Volume-1,
958,,,40-Year-old-Virgin-The,Judd Apatow
959,Comedy,,Hot-Shots,
960,Adventure, De Line Pictures,Italian-Job-The-(2003),
961,,,Dr-Dolittle-2,
962,Action," DreamWorks Pictures, Reliance BIG Entertainment, Imagine Entertainment, K/O Paper Products, Fairview Entertainment, Platinum Studios, Universal Pictures, Relativity Media",Cowboys-and-Aliens,Jon Favreau
963,Comedy," Paramount Pictures, 7 Bucks Productions, Contrafilm, Montecito Picture Company, Vinson Pictures, Flynn Picture Company, Cold Springs Pictures",Baywatch,
964,Comedy," Red Granite Pictures, Gary Sanchez Productions, Paramount Pictures",Daddys-Home-2,Sean Anders
965,,,Bridges-of-Madison-County-The-(1995),Clint Eastwood
966,Drama," Fox Searchlight Pictures, Ad Hominem Enterpises, Dune Entertainment, Little Blair Productions, Ingenious Film Partners",Descendants-The,Alexander Payne
967,Comedy," Universal Pictures, Relativity Media, Bluegrass Films, Aggregate Films",Identity-Thief,Seth Gordon
968,,,Sleeping-with-the-Enemy,Joseph Ruben
969,,,Bucket-List-The,Rob Reiner
970,,,George-Of-The-Jungle,Sam Weisman
971,,,Jin-gang-chuan-(2020-China),
972,,,Operation-Mekong,
973,Thriller/Suspense," Marc Platt Productions, DreamWorks Pictures, Reliance Entertainment, Entertainment One",Girl-on-the-Train-The-(2016),Tate Taylor
974,Romantic Comedy,,Fabuleux-destin-d-Amelie-Poulain-Le,
975,Comedy," Relativity Media, Spyglass Entertainment",Evan-Almighty,
976,Adventure," Visualizer Film, Shanghai Film Group",Pan-Deng-Zhe-(China),Daniel Lee
977,Adventure," Relativity Media, Yuk Films, Goldman Pictures, Rat Entertainment, Misher Films",Mirror-Mirror,
