,Genre,Production Company,Movie name,Director name
407,,,Rush-Hour-2,Brett Ratner
408,,,Pocahontas,
409,Adventure," Columbia Pictures, Olive Bridge Entertainment, Sony Pictures Animation, Animal Logic, 2.0 Entertainment",Peter-Rabbit-(2018),Will Gluck
410,Adventure," Universal Pictures, Imagine Entertainment, Brian Grazer Productions",How-the-Grinch-Stole-Christmas-(2000),
411,Action," Paramount Pictures, Revolution Studios, RK Films   , One Race Films",xXx-Return-of-Xander-Cage,
412,Adventure," DreamWorks Animation, Bonnie Arnold",Over-the-Hedge,Tim Johnson
413,Adventure," DreamWorks Animation, PDI, DreamWorks Pictures",Trolls,Mike Mitchell
414,Thriller/Suspense," Summit Entertainment, K/O Paper Products",Now-You-See-Me,
415,Action," Universal Pictures, Spyglass Entertainment, Relativity Media, Marc Platt Productions, Kickstart",Wanted-(2008),Timur Bekmambetov
416,Adventure," Columbia Pictures, EMI, Phillips, Steven Spielberg",Close-Encounters-of-the-Third-Kind,
417,Romantic Comedy," Walt Disney Pictures, Barry Sonnenfeld, Josephson Entertainment",Enchanted,
418,Action," Eon Productions, Metro-Goldwyn-Mayer Pictures, United Artists",Tomorrow-Never-Dies,Roger Spottiswoode
419,Action, Warner Bros.,Batman-Forever-(1995),Joel Schumacher
420,Action," Walt Disney Pictures, Jerry Bruckheimer",Prince-of-Persia-Sands-of-Time,Mike Newell
421,Action, Hollywood Pictures,Rock-The,Michael Bay
422,Drama, Image Entertainment,Apollo-13,Ron Howard
423,Adventure," Sneaky Shark, Paramount Pictures, Bad Robot, Skydance Productions, Perfect Storm Entertainment",Star-Trek-Beyond,Justin Lin
424,Horror," Paramount Pictures, Platinum Dunes, Sunday Night",Quiet-Place-A-(2018),John Krasinski
425,,,Never-Say-Die-(China),
426,Action," Legendary Pictures, Universal Pictures, Atlas Entertainment",Great-Wall-The,Zhang Yimou
427,Adventure, Disney-Pixar,Good-Dinosaur-The,Peter Sohn
428,Action," 20th Century Fox, Constantin Film, Marvel Studios, 1492 Pictures, Bernd Eichinger",Fantastic-Four-(2005),
429,Adventure, Lucasfilm,Indiana-Jones-and-the-Temple-of-Doom,Steven Spielberg
430,,,Back-to-the-Future-Part-II,
431,Comedy," Columbia Pictures, Metro-Goldwyn-Mayer Pictures, LStar Capital, MRC, Original Film, Cannell Studios",22-Jump-Street,
432,Adventure," Walt Disney Pictures, Jerry Bruckheimer, Junction Entertainment, Saturn Films",National-Treasure,Jon Turteltaub
433,Thriller/Suspense," Dune Entertainment, Cross Creek Pictures, Phoenix Pictures, Protozoa Pictures, Mad Chance",Black-Swan,Darren Aronofsky
434,Action," Cruel and Unusual Films, Mark Canton, Gianni Nunnari",300-Rise-of-an-Empire,Noam Murro
435,,,Meet-the-Parents,Jay Roach
436,Drama," Paramount Pictures, The Kennedy/Marshall Company",Curious-Case-of-Benjamin-Button-The,David Fincher
437,,,Perfect-Storm-The,Wolfgang Petersen
438,Thriller/Suspense," Summit Entertainment, TIK Films, K/O Paper Products",Now-You-See-Me-2,
439,,,Crocodile-Dundee,
440,Thriller/Suspense, Juno Pix,Se7en,David Fincher
441,Adventure," Walt Disney Pictures, Walt Disney Animation Studios",Bolt,Chris Williams
442,Action," EuropaCorp, Canal Plus, M6 Films",Taken-3,Olivier Magaton
443,,,Feng-Kuang-De-Wai-Xing-Ren-(China)(2019),
444,Comedy," Fox 2000 Pictures, Wendy Fineman Productions",Devil-Wears-Prada-The,David Frankel
445,Action," Thunder Road Film, Lionsgate, 87Eleven Inc.",John-Wick-Chapter-3-Parabellum-(2019),Chad Stahelski
446,Adventure, Walt Disney Animation Studios,Hunchback-of-Notre-Dame-The,
447,Action," United Artists, Fairbanks",Robin-Hood-(2010),Ridley Scott
448,Drama," Universal Pictures, Amblin Entertainment",Schindlers-List,
449,Adventure," DreamWorks Animation, PDI",Megamind,Tom McGrath
450,Thriller/Suspense, Jaffe-Lansing Production,Fatal-Attraction,Adrian Lyne
451,Comedy," Participant Media, DreamWorks Pictures, Charles B. Wessler Entertainment, Innisfree Pictures, Cinetic",Green-Book-(2018),Peter Farrelly
452,Adventure," Paramount Pictures, Nickelodeon Films, Blinding Edge Pictures, The Kennedy/Marshall Company",Last-Airbender-The,
453,,,Lethal-Weapon-3,
454,Adventure," New Line Cinema, Contrafilm",Journey-2-Mysterious-Island,Brad Peyton
455,Horror," New Line Cinema, The Safran Company, Evergreen Pictures",Conjuring-The,James Wan
456,Drama," DreamWorks Pictures, Imagine Entertainment, Brian Grazer Productions",Beautiful-Mind-A,
